Length	Count
9	1
22	3
25	1
46	1
50	1
55	1
56	1
58	2
59	2
61	5
62	6
63	3
64	4
65	1
66	4
67	2
68	4
69	5
70	2
71	5
72	1
73	6
74	3
75	6
76	7
77	6
78	10
79	9
80	14
81	5
82	9
83	10
84	11
85	10
86	19
87	15
88	11
89	22
90	18
91	15
92	16
93	21
94	19
95	27
96	27
97	21
98	23
99	30
100	35
101	26
102	34
103	38
104	36
105	46
106	40
107	35
108	36
109	47
110	42
111	41
112	47
113	48
114	54
115	58
116	61
117	63
118	70
119	70
120	74
121	83
122	85
123	91
124	101
125	115
126	91
127	87
128	106
129	79
130	78
131	75
132	65
133	68
134	58
135	66
136	64
137	53
138	52
139	53
140	53
141	62
142	53
143	38
144	46
145	47
146	46
147	55
148	46
149	44
150	60
151	45
152	45
153	51
154	51
155	50
156	43
157	45
158	55
159	45
160	48
161	58
162	56
163	40
164	48
165	41
166	41
167	48
168	46
169	54
170	58
171	56
172	48
173	46
174	49
175	48
176	68
177	73
178	52
179	52
180	53
181	60
182	54
183	40
184	42
185	58
186	36
187	42
188	47
189	30
190	48
191	43
192	45
193	43
194	53
195	50
196	46
197	51
198	62
199	47
200	59
201	50
202	45
203	48
204	51
205	55
206	38
207	40
208	30
209	35
210	27
211	33
212	29
213	23
214	28
215	31
216	24
217	24
218	26
219	32
220	21
221	35
222	18
223	29
224	34
225	38
226	32
227	40
228	40
229	39
230	39
231	33
232	42
233	37
234	37
235	29
236	34
237	27
238	31
239	22
240	19
241	20
242	21
243	19
244	20
245	16
246	11
247	19
248	28
249	20
250	19
251	27
252	19
253	28
254	27
255	39
256	41
257	30
258	33
259	46
260	41
261	52
262	54
263	47
264	59
265	36
266	61
267	35
268	35
269	36
270	41
271	21
272	23
273	17
274	16
275	21
276	15
277	17
278	20
279	26
280	13
281	13
282	10
283	6
284	15
285	5
286	16
287	7
288	15
289	15
290	12
291	9
292	11
293	21
294	13
295	8
296	13
297	13
298	17
299	16
300	15
301	10
302	17
303	11
304	22
305	18
306	12
307	20
308	21
309	21
310	15
311	14
312	19
313	27
314	30
315	15
316	13
317	14
318	18
319	26
320	15
321	15
322	12
323	10
324	13
325	15
326	17
327	11
328	14
329	8
330	7
331	6
332	11
333	5
334	4
335	5
336	10
337	7
338	12
339	5
340	9
341	12
342	12
343	10
344	9
345	6
346	4
347	7
348	9
349	9
350	5
351	6
352	9
353	4
354	4
355	11
356	10
357	9
358	4
359	3
360	9
361	10
362	13
363	6
364	6
365	7
366	5
367	6
368	7
369	8
370	7
371	5
372	1
373	6
374	5
375	8
376	7
377	8
378	5
379	7
380	6
381	4
382	4
383	11
384	5
385	7
386	12
387	11
388	9
389	5
390	7
391	6
392	14
393	12
394	7
395	5
396	6
397	10
398	14
399	6
400	11
401	7
402	5
403	7
404	6
405	7
406	8
407	4
408	8
409	8
410	6
411	2
412	5
413	5
414	14
415	12
416	10
417	6
418	7
419	9
420	10
421	12
422	11
423	9
424	7
425	10
426	8
427	6
428	9
429	3
430	4
431	3
432	6
433	10
434	8
