Length	Count
56	1
58	1
59	2
66	1
67	1
68	1
69	1
73	1
75	1
76	1
78	2
79	1
80	5
81	1
82	1
83	1
84	1
85	2
86	1
87	3
88	3
89	10
90	1
91	1
92	3
93	4
94	6
95	5
96	9
97	4
98	6
99	6
100	8
101	4
102	4
103	8
104	3
105	14
106	4
107	8
108	6
109	10
110	7
111	7
112	12
113	8
114	18
115	13
116	17
117	10
118	16
119	14
120	19
121	19
122	18
123	25
124	29
125	46
126	31
127	35
128	36
129	25
130	22
131	20
132	22
133	19
134	18
135	17
136	18
137	11
138	11
139	16
140	18
141	17
142	8
143	10
144	12
145	9
146	9
147	9
148	11
149	8
150	13
151	12
152	11
153	16
154	11
155	14
156	8
157	19
158	8
159	10
160	12
161	15
162	18
163	8
164	13
165	5
166	10
167	9
168	13
169	14
170	15
171	15
172	10
173	16
174	11
175	14
176	20
177	17
178	13
179	13
180	17
181	13
182	13
183	9
184	13
185	14
186	13
187	7
188	10
189	5
190	17
191	9
192	8
193	10
194	10
195	10
196	14
197	10
198	17
199	12
200	11
201	14
202	9
203	17
204	14
205	13
206	12
207	11
208	5
209	6
210	7
211	4
212	6
213	5
214	8
215	11
216	7
217	5
218	11
219	8
220	2
221	10
222	2
223	10
224	12
225	8
226	6
227	10
228	10
229	8
230	6
231	6
232	12
233	9
234	8
235	9
236	6
237	6
238	9
239	6
240	7
241	7
242	10
243	6
244	7
245	7
246	3
247	7
248	7
249	9
250	7
251	9
252	10
253	10
254	7
255	11
256	10
257	8
258	9
259	13
260	16
261	20
262	16
263	18
264	24
265	12
266	21
267	21
268	15
269	16
270	17
271	11
272	10
273	4
274	10
275	7
276	1
277	6
278	8
279	9
280	6
281	4
282	5
283	4
284	5
285	1
286	7
287	2
288	5
289	6
290	4
291	4
292	4
293	10
294	4
295	2
296	2
297	6
298	9
299	6
300	4
301	6
302	4
303	7
304	10
305	9
306	5
307	5
308	11
309	4
310	6
311	6
312	8
313	8
314	12
315	5
316	3
317	5
318	10
319	9
320	6
321	5
322	6
323	6
324	9
325	6
326	10
327	4
328	8
329	3
330	1
331	1
332	4
333	4
334	2
335	2
336	2
337	5
338	5
340	6
341	6
342	6
343	6
344	6
345	3
346	2
347	4
348	3
349	4
350	2
351	2
352	2
353	1
354	1
355	4
356	4
357	3
358	2
359	1
360	4
361	3
362	5
364	5
365	2
366	1
367	5
368	3
369	3
370	4
371	3
372	1
373	1
374	2
375	1
376	3
377	4
378	1
379	1
380	2
382	4
383	4
384	3
385	1
386	5
387	2
388	3
389	2
390	3
391	1
392	7
393	8
394	2
395	2
396	2
397	4
398	6
399	3
400	5
401	1
402	2
403	4
404	3
405	1
406	5
407	2
408	1
409	4
410	2
411	2
412	1
414	5
415	5
416	5
417	1
418	2
419	4
420	3
421	1
422	4
423	4
424	2
425	6
426	3
427	5
428	4
430	2
433	3
434	3
435	4
436	3
437	2
438	1
439	2
440	3
441	2
442	2
443	1
444	1
445	5
446	1
447	5
449	1
451	2
452	1
455	1
457	1
458	1
460	1
461	2
462	3
463	3
465	2
467	5
468	3
469	5
470	3
471	7
472	1
473	1
474	2
475	5
476	2
477	1
478	3
479	2
480	5
481	5
482	2
483	6
484	4
485	4
486	8
487	2
488	4
489	3
490	3
491	3
492	2
493	2
495	4
496	2
497	1
499	1
501	5
502	2
503	1
504	2
505	3
506	3
507	2
508	2
509	2
510	4
511	2
512	2
513	1
514	2
515	4
516	2
517	2
519	5
520	2
521	1
522	2
523	1
524	2
525	2
526	4
527	2
528	2
529	1
530	1
531	1
532	2
533	2
534	3
535	1
536	1
538	2
539	1
540	1
541	2
542	2
543	1
545	2
546	1
547	3
548	3
549	6
550	2
551	6
552	7
553	5
554	2
555	2
556	6
557	1
558	1
559	4
560	4
561	2
562	2
563	2
564	4
565	2
566	1
567	6
568	3
570	1
571	2
573	1
574	4
575	2
576	3
578	4
579	1
580	2
581	1
582	1
583	5
586	1
587	4
588	1
589	2
590	1
591	2
592	1
593	3
594	3
595	3
596	2
597	1
598	2
599	3
600	1
602	1
603	3
605	4
606	1
607	6
609	1
611	2
612	3
615	1
616	3
617	2
618	3
619	1
620	2
621	1
623	4
625	1
626	1
627	2
628	3
629	1
630	1
631	2
632	3
633	1
634	1
636	2
637	3
639	1
642	4
643	1
645	3
647	1
648	3
649	1
650	3
651	1
652	1
653	2
654	2
655	3
659	1
662	2
663	1
664	2
665	1
666	2
668	1
673	3
674	2
675	1
676	1
677	1
678	1
682	2
683	3
687	2
689	1
691	1
695	1
697	2
698	2
699	2
701	2
702	2
703	4
706	1
707	3
709	3
710	1
711	2
712	4
713	1
714	1
715	2
717	2
720	2
722	4
725	1
728	2
729	2
731	1
732	2
733	1
735	3
736	5
737	3
738	6
739	3
740	2
742	3
743	1
744	2
746	3
748	1
751	1
754	1
755	1
756	1
759	1
762	1
763	1
764	1
768	3
769	3
770	2
772	1
773	1
775	1
777	2
778	1
779	1
781	1
782	1
783	2
784	1
785	2
786	3
788	2
789	1
790	2
791	4
792	1
793	1
794	2
795	1
796	2
797	2
798	3
800	3
801	2
802	1
803	2
804	1
805	3
807	1
808	3
809	2
810	3
811	1
812	2
813	3
814	2
815	2
816	2
817	3
819	1
820	3
821	1
822	1
823	2
825	1
826	1
828	2
830	1
831	1
833	1
834	1
839	1
841	1
843	1
844	2
845	1
847	1
848	1
851	1
854	1
855	2
856	3
857	1
858	2
859	2
861	3
864	2
865	2
866	1
868	1
869	2
874	1
875	2
877	2
879	1
882	1
884	1
887	2
889	2
890	1
893	1
896	1
899	2
901	3
905	1
908	3
910	1
912	1
913	2
917	1
919	1
922	1
925	1
926	1
927	1
928	2
929	2
931	1
932	1
933	4
934	2
936	1
942	1
944	1
945	2
946	2
949	1
962	1
964	1
966	1
967	2
968	1
969	2
970	1
972	1
974	1
975	1
977	2
979	4
980	3
981	2
982	1
983	1
987	1
989	2
990	2
991	1
992	1
993	3
994	2
995	2
996	2
997	1
998	1
999	1
1002	1
1003	1
1004	1
1007	2
1009	1
1011	2
1012	5
1015	1
1019	2
1021	1
1022	1
1024	2
1025	1
1026	1
1030	2
1031	1
1032	1
1036	3
1039	1
1041	1
1043	2
1044	1
1045	2
1047	1
1049	1
1051	2
1052	2
1053	2
1058	2
1059	1
1060	2
1062	1
1063	1
1064	2
1066	2
1067	2
1068	1
1070	1
1071	1
1072	3
1074	3
1075	1
1076	1
1078	1
1079	2
1084	1
1086	2
1088	1
1092	3
1094	1
1097	1
1098	1
1103	1
1114	1
1115	1
1118	1
1120	1
1121	1
1126	1
1130	2
1131	2
1133	2
1134	1
1142	1
1145	1
1149	1
1150	3
1153	1
1154	2
1157	3
1159	3
1165	2
1166	1
1167	2
1168	1
1169	1
1177	2
1180	4
1181	1
1183	1
1186	1
1188	1
1189	1
1190	1
1193	2
1194	1
1196	1
1197	1
1198	1
1200	2
1201	1
1205	2
1207	1
1208	3
1211	2
1215	1
1216	1
1217	1
1219	1
1224	2
1226	1
1227	1
1228	2
1229	1
1233	1
1235	2
1237	1
1238	2
1239	3
1240	3
1241	1
1243	1
1244	3
1246	1
1247	2
1249	2
1250	1
1251	2
1252	2
1254	2
1255	1
1262	2
1263	2
1264	1
1265	1
1266	1
1272	1
1273	1
1280	1
1281	2
1283	1
1284	1
1285	1
1286	1
1291	2
1292	1
1295	1
1297	1
1300	2
1301	1
1302	1
1308	1
1309	1
1310	1
1311	2
1313	1
1317	1
1318	1
1327	1
1328	1
1329	1
1330	2
1333	1
1335	1
1338	1
1342	2
1345	1
1351	1
1353	2
1355	1
1360	1
1364	1
1365	1
1370	1
1372	1
1374	2
1377	1
1380	1
1381	1
1384	1
1387	1
1393	2
1403	2
1405	2
1410	2
1415	3
1418	1
1421	1
1424	1
1425	1
1427	1
1428	1
1430	1
1433	1
1434	1
1436	1
1437	1
1443	1
1452	1
1459	1
1461	2
1462	1
1464	1
1465	1
1467	1
1468	1
1476	1
1480	1
1481	1
1486	1
1487	2
1488	1
1489	1
1490	1
1493	1
1494	2
1495	1
1496	1
1498	1
1506	1
1512	3
1513	2
1515	1
1518	3
1520	2
1523	1
1526	2
1528	1
1529	1
1531	1
1534	1
1535	1
1540	1
1541	1
1544	2
1545	4
1548	2
1553	2
1556	1
1558	2
1559	1
1560	1
1561	1
1567	1
1569	3
1572	1
1573	1
1576	1
1581	1
1582	2
1587	1
1592	1
1599	1
1602	3
1603	1
1604	1
1606	1
1612	1
1617	1
1619	1
1623	2
1624	1
1630	2
1633	1
1636	2
1640	1
1642	1
1643	1
1644	1
1647	1
1653	1
1654	1
1657	1
1661	1
1663	1
1664	1
1665	1
1666	1
1668	1
1675	1
1677	2
1685	1
1688	2
1690	1
1692	1
1695	1
1698	1
1703	2
1704	1
1706	1
1713	1
1714	1
1716	2
1717	1
1718	1
1721	1
1728	1
1730	1
1734	1
1735	1
1740	1
1742	2
1746	1
1755	1
1756	1
1757	1
1765	1
1770	1
1773	2
1774	1
1777	1
1781	3
1783	1
1788	6
1789	2
1797	1
1799	1
1800	1
1801	1
1802	1
1803	1
1804	1
1806	1
1807	1
1808	1
1811	1
1817	1
1822	1
1826	1
1827	1
1831	1
1834	1
1836	2
1837	1
1839	2
1840	1
1841	1
1843	1
1845	1
1853	1
1856	1
1858	1
1860	2
1861	1
1862	1
1865	3
1866	1
1869	1
1870	1
1884	1
1886	1
1891	1
1892	1
1893	1
1894	1
1895	1
1896	1
1899	1
1900	2
1901	1
1906	3
1907	1
1912	1
1913	2
1915	1
1916	1
1919	1
1921	1
1922	1
1923	1
1928	1
1934	1
1941	1
1942	1
1944	1
1946	2
1960	1
1964	1
1969	1
1970	1
1971	1
1974	1
1975	1
1977	1
1980	1
1988	1
2002	1
2004	1
2007	1
2010	1
2018	1
2030	1
2031	1
2033	2
2035	1
2039	1
2042	1
2043	2
2047	1
2049	1
2051	1
2052	1
2053	1
2059	1
2065	1
2069	1
2078	1
2084	1
2085	1
2087	1
2091	1
2092	1
2096	1
2098	3
2101	2
2106	2
2108	1
2114	1
2123	1
2125	1
2126	2
2127	1
2128	1
2130	1
2131	1
2137	1
2140	1
2143	1
2147	1
2158	2
2164	1
2171	2
2176	1
2187	1
2192	1
2193	1
2203	1
2204	1
2205	1
2215	1
2216	2
2217	2
2218	2
2221	2
2225	1
2226	1
2227	1
2230	1
2232	1
2233	1
2236	2
2238	2
2240	2
2241	2
2243	1
2245	2
2253	1
2258	1
2259	1
2260	1
2261	2
2262	2
2264	1
2267	2
2268	1
2269	1
2273	1
2275	1
2278	1
2279	1
2282	1
2286	2
2287	1
2288	1
2297	1
2300	1
2303	1
2311	1
2320	1
2322	1
2324	3
2325	1
2327	1
2328	2
2331	1
2332	1
2342	1
2343	1
2345	1
2347	1
2348	1
2350	1
2351	1
2352	2
